Movie_name,Comment_Rating,Movie_name,Genre 1,Genre 2,Genre 3,Genre 4
The Expendables 3 ,7.9447852760736195,The Expendables 3 ,action,sci-fi,comedy,adventure
The Fifth Element ,8.357142857142858,The Fifth Element ,adventure,classic,family,children
The Girl with the Dragon Tattoo ,8.660550458715596,The Girl with the Dragon Tattoo ,classic,horror,action,children
The Goonies ,5.475177304964539,The Goonies ,action,horror,adventure,family
The Green Mile ,6.3559322033898304,The Green Mile ,comedy,action,family,adventure
The Grey ,6.760089686098655,The Grey ,comedy,action,adventure,classic
The Guilt Trip ,5.518134715025907,The Guilt Trip ,comedy,action,adventure,family
The Hangover ,5.647773279352227,The Hangover ,comedy,action,family,classic
The Hangover Part II ,5.77737881508079,The Hangover Part II ,action,family,classic,horror
The Hangover Part III ,8.131868131868131,The Hangover Part III ,children,family,action,comedy
The Hel,6.416666666666667,The Hel,action,classic,family,adventure
The Hurt Locker ,8.405797101449275,The Hurt Locker ,family,action,children,classic
The Ides of March ,5.25531914893617,The Ides of March ,comedy,family,children,action
The Incredible,6.921985815602837,The Incredible,action,romantic,classic,adventure
The Incredible Burt Wonderstone ,5.9950495049504955,The Incredible Burt Wonderstone ,comedy,action,classic,family
The Incredible Hulk ,6.802816901408451,The Incredible Hulk ,action,classic,comedy,family
The Internship ,6.3076923076923075,The Internship ,action,comedy,classic,horror
The Italian Jo,9.051912568306012,The Italian Jo,classic,children,family,musical
The Last Stand ,6.642553191489362,The Last Stand ,action,comedy,classic,family
The Lion King ,6.124183006535947,The Lion King ,children,family,musical,action
The Lone Ranger ,4.733333333333333,The Lone Ranger ,horror,classic,action,musical
The Lorax ,6.451127819548872,The Lorax ,action,classic,comedy,adventure
The Lords of Salem ,4.2827586206896555,The Lords of Salem ,action,classic,anime,comedy
The Man with the Golden Gun ,5.421052631578948,The Man with the Golden Gun ,action,family,classic,children
The Man with the Iron Fists ,8.579374275782156,The Man with the Iron Fists ,action,sci-fi,classic,adventure
The Master ,6.481675392670157,The Master ,action,sci-fi,classic,adventure
The Matrix ,7.215017064846417,The Matrix ,action,adventure,horror,comedy
The Matrix Reloaded ,5.972222222222222,The Matrix Reloaded ,action,comedy,thrillers,adventure
The Mumm,6.049382716049383,The Mumm,family,children,action,comedy
The Numbers Station ,5.6798245614035086,The Numbers Station ,comedy,action,classic,adventure
The Odd Life of Timothy Green ,3.25,The Odd Life of Timothy Green ,children,family,action,adventure
The Other Guys ,7.876777251184834,The Other Guys ,classic,family,action,children
The Outback ,5.247058823529412,The Outback ,family,comedy,thrillers,action
The Outsiders ,6.874538745387454,The Outsiders ,action,family,classic,children
The Paperboy ,8.136413641364136,The Paperboy ,action,sci-fi,family,classic
The Place Beyond the Pines ,4.352030947775629,The Place Beyond the Pines ,family,horror,action,children
The Prestige ,6.459677419354839,The Prestige ,horror,action,romantic,classic
The Purge ,8.072243346007605,The Purge ,action,classic,adventure,comedy
The Raven ,8.732758620689655,The Raven ,family,classic,adventure,children
The Rock ,9.317385866166354,The Rock ,classic,action,family,horror
The Sandlot ,7.8919694072657744,The Sandlot ,horror,family,classic,action
The Shawshank Redemption ,8.784172661870503,The Shawshank Redemption ,horror,classic,thrillers,action
The Shining ,8.140449438202246,The Shining ,horror,action,classic,children
The Silence of the Lambs ,8.0,The Silence of the Lambs ,family,action,adventure,anime
The Sixth Sense ,5.822695035460993,The Sixth Sense ,horror,children,action,family
The Story of Luke ,8.810309278350516,The Story of Luke ,action,sci-fi,classic,horror
The Tall Man ,7.347517730496454,The Tall Man ,action,romantic,family,classic
The Terminato,8.465149359886203,The Terminato,comedy,action,classic,family
The Town ,8.450057405281285,The Town ,action,classic,thrillers,family
The Truman Show ,5.25,The Truman Show ,comedy,sci-fi,action,family
The Usual Suspects ,7.208860759493671,The Usual Suspects ,comedy,family,action,classic
The Watch ,5.957104557640751,The Watch ,action,family,adventure,romantic
